MUNICIPI,PSC-CP,ERC-AM,JUNTS,Cs,PP,Others,total_votes
Sitges,1406,2172,1860,1349,423,5235,12445
Siurana,0,0,44,0,0,64,108
Sobremunt,0,0,0,0,0,44,44
Soleràs,0,0,43,0,0,152,195
Solivella,0,0,0,0,0,329,329
Solsona,313,2145,1038,178,0,691,4365
Sora,0,0,0,0,0,121,121
Soriguera,0,0,0,0,0,265,265
Sort,110,0,0,0,0,1084,1194
Soses,0,426,0,0,0,414,840
Subirats,158,509,652,0,58,364,1741
Sudanell,0,0,0,0,0,500,500
Sunyer,0,0,0,0,0,186,186
Susqueda,0,50,0,0,0,5,55
Sénia,0,0,0,0,0,2713,2713
Súria,871,754,213,103,0,1363,3304
Tagamanent,0,0,0,0,0,112,112
Talamanca,0,0,94,0,0,62,156
Talarn,0,0,0,0,0,234,234
Talavera,0,0,135,0,0,70,205
Tallada d'Empordà,0,0,0,0,0,290,290
Taradell,0,2312,0,0,0,1176,3488
Tarragona,13416,0,6395,8439,3595,25262,57107
Tarroja de Segarra,0,0,66,0,3,103,172
Tarrés,0,0,0,0,0,73,73
Tavertet,0,26,0,0,2,47,75
Tavèrnoles,0,73,0,0,0,138,211
Teià,321,0,0,355,0,2692,3368
Terrades,0,0,104,0,0,0,104
Terrassa,19638,0,7225,7747,2958,57555,95123
Tiana,759,1058,1348,247,164,1127,4703
Tiurana,0,0,44,0,0,17,61
Tivenys,303,0,0,0,0,307,610
Tivissa,0,0,425,0,0,586,1011
Tona,334,939,0,0,126,2755,4154
Tordera,1167,0,0,527,225,5184,7103
Torelló,938,0,0,274,0,5552,6764
Torms,0,0,0,0,0,110,110
Tornabous,0,142,0,0,0,291,433
Torre de Cabdella,0,255,95,0,0,136,486
Torre de Claramunt,494,326,884,0,0,207,1911
Torre de Fontaubella,9,0,0,0,0,89,98
Torre de l'Espanyol,0,0,0,0,0,291,291
Torre-serona,0,0,0,0,0,247,247
Torrebesses,0,0,0,0,0,136,136
Torredembarra,1337,2494,0,960,280,1759,6830
Torrefarrera,296,399,0,0,88,1340,2123
Torrefeta i Florejacs,0,240,113,0,0,0,353
Torregrossa,0,827,0,0,0,185,1012
Torrelameu,0,306,0,0,0,131,437
Torrelavit,0,254,367,0,0,190,811
Torrelles de Foix,117,165,745,0,0,75,1102
Torrelles de Llobregat,490,768,493,157,34,949,2891
Torrent,61,51,0,0,3,56,171
Torres de Segre,303,176,0,0,27,500,1006
Torroella de Fluvià,180,0,0,0,0,179,359
Torroella de Montgrí,0,1067,0,255,87,3414,4823
Torroja del Priorat,0,0,42,0,0,71,113
Tortellà,0,0,0,0,0,477,477
Tortosa,2042,0,4357,930,359,7175,14863
Torà,0,317,194,0,0,162,673
Toses,0,30,0,0,0,86,116
Tossa de Mar,0,365,0,237,0,2069,2671
Tremp,0,880,0,0,0,1852,2732
Tàrrega,859,0,0,239,141,5745,6984
Térmens,0,0,0,0,0,856,856
Tírvia,0,0,0,0,6,59,65
Ullastrell,79,568,0,61,0,393,1101
Ullastret,0,0,0,0,0,203,203
Ulldecona,0,336,327,0,315,1990,2968
Ulldemolins,0,0,98,0,0,210,308
Ullà,0,0,0,0,0,447,447
Ultramort,1,0,0,0,0,150,151
Urús,0,0,0,0,6,89,95
Vacarisses,309,1236,0,251,45,1302,3143
Vajol,0,0,36,0,0,22,58
Vall d'en Bas,0,0,0,0,0,1885,1885
Vall de Bianya,0,0,0,0,0,641,641
Vall de Boí,0,318,0,0,0,276,594
Vall de Cardós,0,0,0,0,0,206,206
Vall-llobrega,0,145,0,0,0,317,462
Vallbona d'Anoia,195,166,0,0,0,449,810
Vallbona de les Monges,0,0,0,0,0,208,208
Vallcebre,0,0,0,0,0,188,188
Vallclara,0,12,43,0,0,0,55
Vallfogona de Balaguer,0,0,574,0,0,386,960
Vallfogona de Ripollès,0,0,0,0,0,118,118
Vallfogona de Riucorb,0,0,0,0,0,53,53
Vallgorguina,0,325,0,0,0,1038,1363
Vallirana,3228,1180,0,532,195,1675,6810
Vallmoll,643,0,0,0,15,340,998
Vallromanes,108,0,113,0,0,1156,1377
Valls,2010,0,3581,818,346,4190,10945
Valls d'Aguilar,0,0,0,0,0,199,199
Valls de Valira,0,0,0,0,0,350,350
Vandellòs i l'Hospitalet de l'Infant,1132,351,0,205,200,1148,3036
Vansa i Fórnols,0,0,0,0,0,104,104
Veciana,0,41,63,0,0,0,104
Vendrell,4001,0,1198,1496,630,7310,14635
Ventalló,0,167,243,0,0,0,410
Verdú,0,0,0,0,0,523,523
Verges,0,0,0,0,0,515,515
Vespella de Gaià,214,0,0,0,0,40,254
Vic,1089,3472,0,690,212,12265,17728
Vidreres,0,0,0,0,0,3321,3321
Vidrà,0,0,0,0,0,124,124
Vielha e Mijaran,0,0,0,77,72,2410,2559
Vila-rodona,0,0,0,0,0,437,437
Vila-sacra,29,0,176,0,0,160,365
Vila-sana,0,0,259,0,0,176,435
Vila-seca,1067,0,0,1818,246,5789,8920
Vilabella,0,133,268,0,0,95,496
Vilabertran,0,377,0,0,0,0,377
Vilablareix,137,1163,0,0,49,399,1748
Vilada,0,0,0,0,0,323,323
Viladamat,0,0,54,0,0,247,301
Viladasens,0,66,0,0,0,77,143
Viladecans,11771,5216,0,4442,996,6739,29164
Viladecavalls,399,1005,0,370,0,2194,3968
Vilademuls,0,0,0,0,0,410,410
Viladrau,0,0,0,0,0,675,675
Vilafant,1065,906,265,389,93,0,2718
Vilafranca del Penedès,3625,3999,5339,1040,598,3545,18146
Vilagrassa,27,0,0,0,0,273,300
Vilajuïga,0,250,0,0,0,389,639
Vilalba Sasserra,0,119,196,0,0,0,315
Vilalba dels Arcs,0,0,0,0,0,427,427
Vilaller,0,0,0,0,35,255,290
Vilallonga de Ter,0,0,0,0,0,176,176
Vilallonga del Camp,0,362,327,0,85,396,1170
Vilamacolum,0,0,0,0,0,138,138
Vilamalla,0,0,458,0,0,0,458
Vilamaniscle,6,0,80,0,0,0,86
Vilamòs,0,0,0,0,0,116,116
Vilanant,14,0,192,0,0,0,206
Vilanova d'Escornalbou,0,0,0,0,0,314,314
Vilanova de Bellpuig,0,0,264,0,0,452,716
Vilanova de Meià,0,176,0,0,0,78,254
Vilanova de Prades,31,0,0,0,0,0,31
Vilanova de Sau,0,28,0,0,0,169,197
Vilanova de Segrià,0,0,0,0,0,541,541
Vilanova de l'Aguda,0,0,0,0,0,118,118
Vilanova de la Barca,0,0,341,0,0,203,544
Vilanova del Camí,2338,887,303,145,109,2185,5967
Vilanova del Vallès,482,260,604,160,0,1116,2622
Vilanova i la Geltrú,7805,7739,0,3055,902,11560,31061
Vilaplana,0,0,0,0,0,302,302
Vilassar de Dalt,572,0,1164,285,219,2328,4568
Vilassar de Mar,1393,0,1734,1056,318,6377,10878
Vilaverd,0,0,158,0,0,0,158
Vilaür,0,0,2,0,0,78,80
Vilella Alta,0,0,0,0,0,59,59
Vilella Baixa,0,0,0,0,0,153,153
Vilobí d'Onyar,0,101,0,0,0,1687,1788
Vilobí del Penedès,0,0,0,0,0,658,658
Vilopriu,0,72,0,0,2,9,83
Vilosell,0,0,80,0,2,54,136
Vimbodí i Poblet,0,195,342,0,0,0,537
Vinaixa,0,0,0,0,0,293,293
Vinebre,0,0,0,0,0,194,194
Vinyols i els Arcs,173,0,0,77,15,791,1056
Viver i Serrateix,0,0,0,0,0,120,120
Xerta,0,0,0,0,0,537,537
Àger,0,0,0,0,0,392,392
Òdena,0,0,0,0,0,1890,1890
Òrrius,30,330,49,0,0,0,409
