MUNICIPI,PSC-CP,ERC-AM,JUNTS,Cs,PP,Others,total_votes,latitude,longitude
Talavera,0,0,135,0,0,70,205,41.5817985,1.33826
Tallada d'Empordà,0,0,0,0,0,290,290,42.0798863,3.0555614
Taradell,0,2312,0,0,0,1176,3488,41.8762624,2.2859511
Tarragona,13416,0,6395,8439,3595,25262,57107,41.1172364,1.2546057
Tarroja de Segarra,0,0,66,0,3,103,172,41.7308605,1.2742092
Tarrés,0,0,0,0,0,73,73,41.422847,1.0195198
Tavertet,0,26,0,0,2,47,75,41.995547,2.4182542
Tavèrnoles,0,73,0,0,0,138,211,41.9520757,2.3263016
Teià,321,0,0,355,0,2692,3368,41.4994081,2.3205426
Terrades,0,0,104,0,0,0,104,42.3106341,2.8381619
Terrassa,19638,0,7225,7747,2958,57555,95123,41.5629623,2.0100492
Tiana,759,1058,1348,247,164,1127,4703,41.4819226,2.2689473
Tiurana,0,0,44,0,0,17,61,41.9755539,1.2563829
Tivenys,303,0,0,0,0,307,610,40.9063633,0.5123178
Tivissa,0,0,425,0,0,586,1011,41.0416528,0.7346523
Tona,334,939,0,0,126,2755,4154,41.8538039,2.2280115
Tordera,1167,0,0,527,225,5184,7103,41.6977173,2.7172987
Torelló,938,0,0,274,0,5552,6764,42.0478304,2.2643391
Torms,0,0,0,0,0,110,110,41.3945871,0.7200786
Tornabous,0,142,0,0,0,291,433,41.7018162,1.0524009
Torre de Cabdella,0,255,95,0,0,136,486,42.4130548,0.9786399
Torre de Claramunt,494,326,884,0,0,207,1911,41.5349561,1.6655769
Torre de Fontaubella,9,0,0,0,0,89,98,41.1245958,0.8644949
Torre de l'Espanyol,0,0,0,0,0,291,291,41.199313,0.6170686
Torre-serona,0,0,0,0,0,247,247,41.672172,0.6303608
Torrebesses,0,0,0,0,0,136,136,41.4265429,0.5947229
Torredembarra,1337,2494,0,960,280,1759,6830,41.146155,1.3959508
Torrefarrera,296,399,0,0,88,1340,2123,41.6735377,0.6066894
Torrefeta i Florejacs,0,240,113,0,0,0,353,41.7787656,1.2473908
Torregrossa,0,827,0,0,0,185,1012,41.5805089,0.8317131
Torrelameu,0,306,0,0,0,131,437,41.7044727,0.703576
Torrelavit,0,254,367,0,0,190,811,41.4432636,1.7266773
Torrelles de Foix,117,165,745,0,0,75,1102,41.387735,1.5723453
Torrelles de Llobregat,490,768,493,157,34,949,2891,41.3565232,1.9816276
Torrent,61,51,0,0,3,56,171,41.9515047,3.1267566
Torres de Segre,303,176,0,0,27,500,1006,41.5352381,0.5135629
Torroella de Fluvià,180,0,0,0,0,179,359,42.174492,3.0402489
Torroella de Montgrí,0,1067,0,255,87,3414,4823,42.040982,3.1262041
Torroja del Priorat,0,0,42,0,0,71,113,41.2133186,0.8106095
Tortellà,0,0,0,0,0,477,477,42.233331,2.630869
Tortosa,2042,0,4357,930,359,7175,14863,40.8110158,0.5209333
Torà,0,317,194,0,0,162,673,41.8120807,1.4037146
Toses,0,30,0,0,0,86,116,42.3218595,2.0168227
Tossa de Mar,0,365,0,237,0,2069,2671,41.7197773,2.9312155
Tremp,0,880,0,0,0,1852,2732,42.1669782,0.8950137
Tàrrega,859,0,0,239,141,5745,6984,41.6472761,1.1409115
Térmens,0,0,0,0,0,856,856,41.7184579,0.7631282
Tírvia,0,0,0,0,6,59,65,42.514956,1.243896
Ullastrell,79,568,0,61,0,393,1101,41.5265763,1.9560471
Ullastret,0,0,0,0,0,203,203,42.0008975,3.0689759
Ulldecona,0,336,327,0,315,1990,2968,40.5967567,0.4475376
Ulldemolins,0,0,98,0,0,210,308,41.3222886,0.8761351
Ullà,0,0,0,0,0,447,447,42.0500542,3.1073899
Ultramort,1,0,0,0,0,150,151,42.037127,3.0349373
Urús,0,0,0,0,6,89,95,42.3520412,1.8534065
Vacarisses,309,1236,0,251,45,1302,3143,41.6063852,1.9194608
Vajol,0,0,36,0,0,22,58,42.4039078,2.800086
Vall d'en Bas,0,0,0,0,0,1885,1885,42.1334,2.4423377
Vall de Bianya,0,0,0,0,0,641,641,42.2128025,2.4521905
Vall de Boí,0,318,0,0,0,276,594,42.5040046,0.79537
Vall de Cardós,0,0,0,0,0,206,206,42.5936277,1.2026698
Vall-llobrega,0,145,0,0,0,317,462,41.8792987,3.1263403
Vallbona d'Anoia,195,166,0,0,0,449,810,41.5194769,1.7082922
Vallbona de les Monges,0,0,0,0,0,208,208,41.5249704,1.0890539
Vallcebre,0,0,0,0,0,188,188,42.2036044,1.818818
Vallclara,0,12,43,0,0,0,55,41.3774766,0.982585
Vallfogona de Balaguer,0,0,574,0,0,386,960,41.7518459,0.8165116
Vallfogona de Ripollès,0,0,0,0,0,118,118,42.1963139,2.3036247
Vallfogona de Riucorb,0,0,0,0,0,53,53,41.5632199,1.2363297
Vallgorguina,0,325,0,0,0,1038,1363,41.6473229,2.5100384
Vallirana,3228,1180,0,532,195,1675,6810,41.3877623,1.9320806
Vallmoll,643,0,0,0,15,340,998,41.2426301,1.2488953
Vallromanes,108,0,113,0,0,1156,1377,41.5323208,2.2989347
Valls,2010,0,3581,818,346,4190,10945,41.2835355,1.2473637
Valls d'Aguilar,0,0,0,0,0,199,199,42.2993872,1.2847177
Valls de Valira,0,0,0,0,0,350,350,42.3775374,1.4553493
Vandellòs i l'Hospitalet de l'Infant,1132,351,0,205,200,1148,3036,40.9985238,0.8493534
Vansa i Fórnols,0,0,0,0,0,104,104,42.2416618,1.5107466
Veciana,0,41,63,0,0,0,104,41.6559029,1.4885194
Vendrell,4001,0,1198,1496,630,7310,14635,41.2199677,1.5348566
Ventalló,0,167,243,0,0,0,410,42.1491351,3.0268953
Verdú,0,0,0,0,0,523,523,41.6102775,1.143512
Verges,0,0,0,0,0,515,515,42.0638953,3.0466102
Vespella de Gaià,214,0,0,0,0,40,254,41.2040993,1.3599407
Vic,1089,3472,0,690,212,12265,17728,41.9302021,2.2545943
Vidreres,0,0,0,0,0,3321,3321,41.7888681,2.7792768
Vidrà,0,0,0,0,0,124,124,42.1228239,2.3106778
Vielha e Mijaran,0,0,0,77,72,2410,2559,42.7017572,0.7954744
Vila-rodona,0,0,0,0,0,437,437,41.3108464,1.3581489
Vila-sacra,29,0,176,0,0,160,365,42.2668061,3.0170438
Vila-sana,0,0,259,0,0,176,435,41.6628331,0.9289367
Vila-seca,1067,0,0,1818,246,5789,8920,41.1109268,1.144961
Vilabella,0,133,268,0,0,95,496,41.2467608,1.3298797
Vilabertran,0,377,0,0,0,0,377,42.2826972,2.9814591
Vilablareix,137,1163,0,0,49,399,1748,41.9569396,2.7728439
Vilada,0,0,0,0,0,323,323,42.1369132,1.9315206
Viladamat,0,0,54,0,0,247,301,42.1327669,3.0753648
Viladasens,0,66,0,0,0,77,143,42.0951146,2.9294718
Viladecans,11771,5216,0,4442,996,6739,29164,41.3163083,2.0156034
Viladecavalls,399,1005,0,370,0,2194,3968,41.5563969,1.9553173
Vilademuls,0,0,0,0,0,410,410,42.138644,2.8879149
Viladrau,0,0,0,0,0,675,675,41.8483059,2.3906759
Vilafant,1065,906,265,389,93,0,2718,42.2515266,2.9418008
Vilafranca del Penedès,3625,3999,5339,1040,598,3545,18146,41.3463825,1.6995213
Vilagrassa,27,0,0,0,0,273,300,41.648938,1.1054885
Vilajuïga,0,250,0,0,0,389,639,42.3255898,3.0937345
Vilalba Sasserra,0,119,196,0,0,0,315,41.6530012,2.4405379
Vilalba dels Arcs,0,0,0,0,0,427,427,41.1203999,0.4097144
Vilaller,0,0,0,0,35,255,290,42.4759263,0.7165615
Vilallonga de Ter,0,0,0,0,0,176,176,42.331497,2.3125292
Vilallonga del Camp,0,362,327,0,85,396,1170,41.2080149,1.2074709
Vilamacolum,0,0,0,0,0,138,138,42.1965528,3.0571146
Vilamalla,0,0,458,0,0,0,458,42.2165982,2.9708293
Vilamaniscle,6,0,80,0,0,0,86,42.3743918,3.067464
Vilamòs,0,0,0,0,0,116,116,42.7471748,0.7277956
Vilanant,14,0,192,0,0,0,206,42.2544997,2.8897248
Vilanova d'Escornalbou,0,0,0,0,0,314,314,41.1129833,0.9366799
Vilanova de Bellpuig,0,0,264,0,0,452,716,41.6140501,0.9623795
Vilanova de Meià,0,176,0,0,0,78,254,41.9953518,1.0228846
Vilanova de Prades,31,0,0,0,0,0,31,41.347873,0.9571484
Vilanova de Sau,0,28,0,0,0,169,197,41.9476741,2.383405
Vilanova de Segrià,0,0,0,0,0,541,541,41.7121134,0.6169172
Vilanova de l'Aguda,0,0,0,0,0,118,118,41.9113134,1.2523535
Vilanova de la Barca,0,0,341,0,0,203,544,41.6895577,0.7288787
Vilanova del Camí,2338,887,303,145,109,2185,5967,41.5714336,1.6361449
Vilanova del Vallès,482,260,604,160,0,1116,2622,41.5536734,2.2862297
Vilanova i la Geltrú,7805,7739,0,3055,902,11560,31061,41.2241992,1.7256327
Vilaplana,0,0,0,0,0,302,302,41.2281084,1.0336452
Vilassar de Dalt,572,0,1164,285,219,2328,4568,41.5163595,2.3592879
Vilassar de Mar,1393,0,1734,1056,318,6377,10878,41.5064041,2.3913883
Vilaverd,0,0,158,0,0,0,158,41.3346124,1.1774773
Vilaür,0,0,2,0,0,78,80,42.1437984,2.9550356
Vilella Alta,0,0,0,0,0,59,59,41.2250307,0.7803592
Vilella Baixa,0,0,0,0,0,153,153,41.2199862,0.7634519
Vilobí d'Onyar,0,101,0,0,0,1687,1788,41.8882291,2.7423246
Vilobí del Penedès,0,0,0,0,0,658,658,41.3875574,1.6632965
Vilopriu,0,72,0,0,2,9,83,42.1043198,2.9918548
Vilosell,0,0,80,0,2,54,136,41.3828759,0.9467814
Vimbodí i Poblet,0,195,342,0,0,0,537,41.3848171,1.0491469
Vinaixa,0,0,0,0,0,293,293,41.4281821,0.9745809
Vinebre,0,0,0,0,0,194,194,41.1835005,0.5894559
Vinyols i els Arcs,173,0,0,77,15,791,1056,41.1139986,1.0387245
Viver i Serrateix,0,0,0,0,0,120,120,41.9497667,1.801485
Xerta,0,0,0,0,0,537,537,40.9080065,0.4911048
Àger,0,0,0,0,0,392,392,42.0000879,0.7632247
Òdena,0,0,0,0,0,1890,1890,41.6068791,1.6422209
Òrrius,30,330,49,0,0,0,409,41.5551821,2.3549387
