MUNICIPI,PSC-CP,ERC-AM,JUNTS,Cs,PP,Others,total_votes,latitude,longitude
Castellfollit de la Roca,0,403,0,0,0,103,506,42.2193323,2.5512465
Castellfollit del Boix,0,0,0,0,0,261,261,41.6657331,1.6847457
Castellgalí,547,366,99,63,0,0,1075,41.6732765,1.8378043
Castellnou de Bages,0,373,117,0,0,257,747,41.8348967,1.8365127
Castellnou de Seana,0,114,271,0,0,0,385,41.6468732,0.9700315
Castellolí,0,0,0,0,0,338,338,41.5981563,1.7002468
Castellserà,0,0,0,0,0,614,614,41.7461952,0.9885816
Castellterçol,0,0,0,0,0,1145,1145,41.7503071,2.1230793
Castellvell del Camp,174,494,512,0,79,292,1551,41.1802558,1.0978312
Castellví de Rosanes,0,0,0,80,0,931,1011,41.450038,1.8994527
Castellví de la Marca,0,213,632,0,0,0,845,41.3375741,1.6026645
Castelló d'Empúries,333,1108,209,293,128,971,3042,42.2591074,3.0746425
Castelló de Farfanya,0,0,127,0,0,231,358,41.8195348,0.7284574
Catllar,629,0,236,230,81,977,2153,41.1748794,1.3256814
Cava,0,10,0,0,0,30,40,42.3165818,1.6111497
Cellera de Ter,0,0,0,0,0,1032,1032,41.9686921,2.6205193
Celrà,266,0,0,0,0,2218,2484,42.0247111,2.8789816
Centelles,1714,0,0,0,0,2156,3870,41.7981296,2.2218056
Cercs,0,0,333,0,0,337,670,42.1463987,1.8606233
Cerdanyola del Vallès,8688,5420,1864,3704,1604,7075,28355,41.4910324,2.1374969
Cervelló,0,0,0,316,89,4026,4431,41.3964186,1.9585925
Cervera,466,0,752,126,216,2191,3751,41.6730667,1.2729426
Cervià de Ter,0,184,0,0,0,374,558,42.0676956,2.9122136
Cervià de les Garrigues,0,0,0,0,0,310,310,41.425096,0.8603483
Cistella,0,0,132,0,0,0,132,42.268711,2.8472717
Ciutadilla,11,0,0,0,0,141,152,41.5613952,1.1393955
Clariana de Cardener,0,0,54,0,0,65,119,41.9337762,1.6255629
Cogul,0,0,0,0,0,83,83,41.9573734,1.6163372
Colera,0,0,194,0,0,0,194,42.4036867,3.1489254
