Year,Week,Issue_date,Streaming_Artist,Streaming_Song,Airplay_Artist,Airplay_Song,Streaming_Song_Clean,Airplay_Song_Clean,Streaming_Artist_Clean,Airplay_Artist_Clean
2006,,12 March,"""Rock with You""",Michael Jackson,,,Michael Jackson,,Rock with You,
2006,,19 March,"""Billie Jean""",Michael Jackson,,,Michael Jackson,,Billie Jean,
2006,,26 March,"""Beat It""",Michael Jackson,,,Michael Jackson,,Beat It,
2006,,2 April,"""Bad""",Michael Jackson,,,Michael Jackson,,Bad,
2006,,9 April,"""The Way You Make Me Feel""",Michael Jackson,,,Michael Jackson,,The Way You Make Me Feel,
2006,,16 April,"""Dirty Diana""",Michael Jackson,,,Michael Jackson,,Dirty Diana,
2006,,23 April,"""Smooth Criminal""",Michael Jackson,,,Michael Jackson,,Smooth Criminal,
2006,,30 April,"""Leave Me Alone""",Michael Jackson,,,Michael Jackson,,Leave Me Alone,
2006,,7 May,"""Vivir Para Contarlo""",Violadores Del Verso,,,Violadores Del Verso,,Vivir Para Contarlo,
2006,,28 May,"""Vivir Para Contarlo""",Michael Jackson,,,Michael Jackson,,Vivir Para Contarlo,
2006,,4 June,"""Vivir Para Contarlo""",Michael Jackson,,,Michael Jackson,,Vivir Para Contarlo,
2006,,11 June,"""You Are Not Alone""",Michael Jackson,,,Michael Jackson,,You Are Not Alone,
2006,,18 June,"""Earth Song""",Michael Jackson,,,Michael Jackson,,Earth Song,
2006,,25 June,"""Get Together""",Michael Jackson,,,Michael Jackson,,Get Together,
2006,,2 July,"""Stranger in Moscow""",Michael Jackson,,,Michael Jackson,,Stranger in Moscow,
2006,,9 July,"""Blood on the Dance Floor""",Michael Jackson,,,Michael Jackson,,Blood on the Dance Floor,
2006,,23 July,"""Blood on the Dance Floor""",Michael Jackson,,,Michael Jackson,,Blood on the Dance Floor,
2006,,30 July,"""Summerlove""",Michael Jackson,,,Michael Jackson,,Summerlove,
2006,,6 August,"""Vivir Para Contarlo""",Violadores Del Verso,,,Violadores Del Verso,,Vivir Para Contarlo,
2006,,20 August,"""The Reincarnation of Benjamin Breeg""",Iron Maiden,,,Iron Maiden,,The Reincarnation of Benjamin Breeg,
2006,,10 September,"""Volveremos (himno Eventual Del Real Oviedo)""",Melendi,,,Melendi,,Volveremos (himno Eventual Del Real Oviedo),
2006,,24 September,"""Let Me Out""",Dover,,,Dover,,Let Me Out,
2006,,8 October,"""Criticar por Criticar""",Fangoria,,,Fangoria,,Criticar por Criticar,
2006,,29 October,"""Criticar por Criticar""",Fangoria,,,Fangoria,,Criticar por Criticar,
2006,,5 November,"""Criticar por Criticar""",Fangoria,,,Fangoria,,Criticar por Criticar,
2006,,12 November,"""The Saints Are Coming""",U2andGreen Day,,,U2andGreen Day,,The Saints Are Coming,
2006,,10 December,"""Al Final De La Palmera""",Rafa González-Serna,,,Rafa González-Serna,,Al Final De La Palmera,
2007,,7 January,"""Al final de la palmera""",Rafa González-Serna,,,Rafa González-Serna,,Al final de la palmera,
2007,,18 February,"""Ni contigo ni sin ti""",Fangoria,,,Fangoria,,Ni contigo ni sin ti,
2007,,4 March,"""Ni contigo ni sin ti""",Fangoria,,,Fangoria,,Ni contigo ni sin ti,
2007,,11 March,"""Different World""",Iron Maiden,,,Iron Maiden,,Different World,
2007,,18 March,"""Al final de la palmera""",Rafa González-Serna,,,Rafa González-Serna,,Al final de la palmera,
2007,,25 March,"""Alegrías del incendio""",Los Planetas,,,Los Planetas,,Alegrías del incendio,
2007,,22 April,"""Alegrías del incendio""",Los Planetas,,,Los Planetas,,Alegrías del incendio,
2007,,29 April,"""The Moment You Believe""",Melanie C,,,Melanie C,,The Moment You Believe,
2007,,13 May,"""The Moment You Believe""",Melanie C,,,Melanie C,,The Moment You Believe,
2007,,20 May,"""Dejándonos llevar""",Chloe,,,Chloe,,Dejándonos llevar,
2007,,3 June,"""Los raperos nunca mueren""",Shotta,,,Shotta,,Los raperos nunca mueren,
2007,,1 July,"""Miss Sanchez Remixes""",Marta Sánchez,,,Marta Sánchez,,Miss Sanchez Remixes,
2007,,22 July,"""Miss Sanchez Remixes""",Marta Sánchez,,,Marta Sánchez,,Miss Sanchez Remixes,
2007,,29 July,"""The Show Must Go On""",Innocence,,,Innocence,,The Show Must Go On,
2007,,12 August,"""The Show Must Go On""",Innocence,,,Innocence,,The Show Must Go On,
2007,,19 August,"""The Show Must Go On""",Innocence,,,Innocence,,The Show Must Go On,
2007,,26 August,"""El cementerio de mis sueños""",Fangoria,,,Fangoria,,El cementerio de mis sueños,
2007,,2 September,"""Amaranth""",Nightwish,,,Nightwish,,Amaranth,
2007,,23 September,"""Amaranth""",Nightwish,,,Nightwish,,Amaranth,
2007,,30 September,"""Amaranth""",Nightwish,,,Nightwish,,Amaranth,
2007,,7 October,"""The Show Must Go On""",Innocence,,,Innocence,,The Show Must Go On,
2007,,14 October,"""Kingdom""",Dave Gahan,,,Dave Gahan,,Kingdom,
2007,,21 October,"""Y ahora voy a salir (Ranxeira)""",Mägo de Oz,,,Mägo de Oz,,Y ahora voy a salir (Ranxeira),
2007,,28 October,"""Kingdom""",Dave Gahan,,,Dave Gahan,,Kingdom,
2007,,4 November,"""Y ahora voy a salir (Ranxeira)""",Mägo de Oz,,,Mägo de Oz,,Y ahora voy a salir (Ranxeira),
2007,,18 November,"""Y ahora voy a salir (Ranxeira)""",Mägo de Oz,,,Mägo de Oz,,Y ahora voy a salir (Ranxeira),
2007,,25 November,"""Que poco arte""",Sylvia Pantoja,,,Sylvia Pantoja,,Que poco arte,
2007,,30 November,"""2 Hearts""",Kylie Minogue,,,Kylie Minogue,,2 Hearts,
2007,,16 December,"""The Singles Boxset""",The Who,,,The Who,,The Singles Boxset,
2007,,30 December,"""The Singles Boxset""",The Who,,,The Who,,The Singles Boxset,
2008,,6 January,Dogma Crew,"""Nacen de la bruma""",,,Nacen de la bruma,,Dogma Crew,
