Year,Week,Issue_date,Streaming_Artist,Streaming_Song,Airplay_Artist,Airplay_Song,Streaming_Song_Clean,Airplay_Song_Clean
2011,34.0,August 28,Don Omar&Lucenzo,"""Danza Kuduro""",,,Danza Kuduro,
2011,35.0,September 4,Don Omar&Lucenzo,"""Danza Kuduro""",,,Danza Kuduro,
2011,36.0,September 11,Don Omar&Lucenzo,"""Danza Kuduro""",,,Danza Kuduro,
2011,37.0,September 18,Don Omar&Lucenzo,"""Danza Kuduro""",,,Danza Kuduro,
2011,38.0,September 25,Don Omar&Lucenzo,"""Danza Kuduro""",,,Danza Kuduro,
2011,39.0,October 2,Pitbull(feat.Marc Anthony),"""Rain Over Me""",,,Rain Over Me,
2011,40.0,October 9,Pitbull(feat.Marc Anthony),"""Rain Over Me""",,,Rain Over Me,
2011,41.0,October 16,Juan Magán(feat. Crossfire),"""Bailando por Ahí""",,,Bailando por Ahí,
2011,42.0,October 23,Pitbull(feat. Marc Anthony),"""Rain Over Me""",,,Rain Over Me,
2011,43.0,October 30,Pitbull(feat. Marc Anthony),"""Rain Over Me""",,,Rain Over Me,
2011,44.0,November 6,Pitbull(feat. Marc Anthony),"""Rain Over Me""",,,Rain Over Me,
2011,45.0,November 13,Pablo Alborán(feat. Carminho),"""Perdóname""",,,Perdóname,
2011,46.0,November 20,Pablo Alborán(feat. Carminho),"""Perdóname""",,,Perdóname,
2011,47.0,November 27,Michel Teló,"""Ai Se Eu Te Pego""",,,Ai Se Eu Te Pego,
2011,48.0,December 4,Michel Teló,"""Ai Se Eu Te Pego""",,,Ai Se Eu Te Pego,
2011,49.0,December 11,Michel Teló,"""Ai Se Eu Te Pego""",,,Ai Se Eu Te Pego,
2011,50.0,December 18,Michel Teló,"""Ai Se Eu Te Pego""",,,Ai Se Eu Te Pego,
2011,51.0,December 25,Michel Teló,"""Ai Se Eu Te Pego""",,,Ai Se Eu Te Pego,
2011,52.0,January 1,Michel Teló,"""Ai Se Eu Te Pego""",,,Ai Se Eu Te Pego,
2012,1.0,January 8,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,
2012,2.0,January 15,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,
2012,3.0,January 22,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,
2012,4.0,January 29,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,
2012,5.0,February 5,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,
2012,6.0,February 12,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,
2012,7.0,February 19,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,
2012,8.0,February 26,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,
2012,9.0,March 4,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,
2012,10.0,March 11,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,
2012,11.0,March 18,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,
2012,12.0,March 25,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,
2012,13.0,April 1,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,
2012,14.0,April 8,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,
2012,15.0,April 15,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,
2012,16.0,April 22,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,
2012,17.0,April 29,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,
2012,18.0,May 6,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,
2012,19.0,May 13,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,
2012,20.0,May 20,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,
2012,21.0,May 27,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,
2012,22.0,June 3,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,
2012,23.0,June 10,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,
